number,group,toxicant,time,Casp7,Chek,Gclc,Gstm1,Gstp1,Gstt1,Hmox,Nfe2l2,Nqo1,Ripk,Sod1,AST,ALT,LDG,AP,TG,HST,protein,MA
3,K-,APAP,72h,-.468571429,-.33,-.427142857,.835714286,.234285714,.171428571,-.331428571,-.024285714,-1.612857143,-.217142857,-.167142857,173.4,46,1988,305,1.01,2.23,68,110.3
4,K-,APAP,72h,.041428571,3.22,-1.127142857,.325714286,-.185714286,-.628571429,.578571429,.535714286,-.872857143,-.507142857,.422857143,161.6,57.5,2225,246.1,.71,2.47,71.7,121.8
5,K-,APAP,72h,-.308571429,-.9,1.242857143,-.674285714,.074285714,-.748571429,-.801428571,-.294285714,-1.052857143,-.157142857,-.297142857,192,62.6,2223,399.8,.96,2.61,71.7,141.5
6,K-,APAP,72h,-.208571429,.36,1.922857143,-.324285714,-.215714286,.831428571,.458571429,.895714286,-.482857143,.912857143,-.137142857,168.4,60,1995,358.1,.83,2.54,65.4,122.7
7,K-,APAP,72h,.781428571,-.88,.122857143,-.534285714,-.685714286,-.068571429,-.015,.365714286,-.96,.782857143,.012857143,157.6,52.2,1812,290,.74,2.16,66.8,106.6
1,K-,CCL4,24h,.947142857,1.317142857,-1.252857143,.727142857,2.275714286,-1.214285714,1.292857143,.505714286,-.93,.502857143,-.895714286,175.6,61.9,2228,268.7,.83,2.37,73.7,142.7
2,K-,CCL4,24h,.037142857,.517142857,-.612857143,.237142857,-.114285714,1.755714286,-.177142857,-.924285714,-.97,.652857143,.744285714,282,46.7,3060,247.5,.83,2.16,73.3,131.3
3,K-,CCL4,24h,-.732857143,-.872857143,-.202857143,-.392857143,-1.044285714,-.114285714,.302857143,.305714286,-.56,-.317142857,.434285714,184.4,50.3,2807,418.8,.93,2.87,73.6,121.8
4,K-,CCL4,24h,.867142857,.417142857,.097142857,.797142857,-.334285714,-.984285714,.232857143,1.045714286,-.71,.342857143,.014285714,190.4,41.2,1557,274.1,1.03,1.34,74.1,125.8
5,K-,CCL4,24h,-.292857143,.027142857,1.867142857,-.402857143,1.085714286,-.364285714,-1.387142857,.275714286,.21,1.332857143,-.425714286,248.1,50.8,2147,290,1,2.27,69.2,131
6,K-,CCL4,24h,-.162857143,-.632857143,.657142857,-1.082857143,-2.334285714,.725714286,-.707142857,-1.244285714,2.48,-1.477142857,.184285714,241.9,55.6,1988,280.1,1.03,1.62,71.5,137.5
7,K-,CCL4,24h,-.662857143,-.772857143,-.552857143,.117142857,.465714286,.195714286,.442857143,.035714286,.48,-1.037142857,-.055714286,237.6,53.9,2160,394.5,.27,2.59,71.5,125.8
1,K-,CCL4,72h,-.172857143,.302857143,.468571429,-.201428571,.688571429,-.792857143,.864285714,.715714286,-1.441428571,.501428571,.291428571,187.2,59.6,2095,305,.97,1.81,71.3,110.3
2,K-,CCL4,72h,.877142857,-.667142857,-.481428571,.678571429,.338571429,.697142857,-.605714286,-.194285714,-.791428571,.401428571,-.188571429,140.7,38.6,1988,246.1,1.12,1.57,67.4,105.7
3,K-,CCL4,72h,-.022857143,-.647142857,.578571429,.998571429,-.441428571,.257142857,.014285714,.045714286,-2.291428571,.451428571,.041428571,173.4,46,1988,305,1.01,2.23,68,110.3
4,K-,CCL4,72h,1.177142857,-1.337142857,.188571429,1.018571429,-.871428571,.037142857,-.785714286,1.745714286,-.001428571,.321428571,.261428571,161.6,57.5,2225,246.1,.71,2.47,71.7,121.8
5,K-,CCL4,72h,.417142857,.362857143,.298571429,-1.111428571,.018571429,.047142857,.774285714,-.264285714,.588571429,-.288571429,-.308571429,192,62.6,2223,399.8,.96,2.61,71.7,141.5
6,K-,CCL4,72h,-1.352857143,.622857143,-1.621428571,-1.241428571,-.571428571,-.072857143,-.005714286,-.944285714,2.108571429,-1.418571429,-.198571429,168.4,60,1995,358.1,.83,2.54,65.4,122.7
7,K-,CCL4,72h,-.922857143,1.362857143,.568571429,-.141428571,.838571429,-.172857143,-.255714286,-1.104285714,1.828571429,.031428571,.101428571,157.6,52.2,1812,290,.74,2.16,66.8,106.6
1,K-,EtOH,24h,-1.528333333,2.091428571,.327142857,-5.742857143,1.48,.842857143,-4.874285714,.028571429,-.96,.998571429,1.093333333,165.1,63.2,1841,379.3,1.27,2.16,72.7,118.7
2,K-,EtOH,24h,.691666667,1.021428571,-.492857143,-1.862857143,1.13,.702857143,-4.794285714,.958571429,2.33,.298571429,-.166666667,183.8,57.5,1822,401,.57,2.74,68.5,122.2
3,K-,EtOH,24h,-.528333333,.301428571,.337142857,.187142857,.35,.852857143,-5.294285714,-.851428571,-.15,.488571429,.39,189,65.7,2138,348,.67,2.76,70.8,129
4,K-,EtOH,24h,.651666667,1.741428571,.997142857,4.337142857,1.35,1.082857143,-4.194285714,-.011428571,.35,1.548571429,.533333333,198.1,56,2556,317.5,.44,2.16,62.9,119
5,K-,EtOH,24h,.201666667,.741428571,1.397142857,-2.282857143,1.09,.402857143,-4.864285714,-.851428571,.77,.278571429,1.013333333,199,53.8,2567,332,.38,1.76,66.2,124.2
6,K-,EtOH,24h,.511666667,-3.738571429,-2.022857143,-4.602857143,-4.39,-2.187142857,-5.914285714,.798571429,-.55,-2.661428571,.253333333,172.6,66.6,2004,350.9,1.14,2.8,77.3,135.6
7,K-,EtOH,24h,.355,-2.158571429,-.542857143,9.967142857,-1.01,-1.697142857,-4.865,-.071428571,-1.79,-.951428571,-2.726666667,189,56,2197,241.4,.43,2.1,70.1,118.6
1,K-,EtOH,72h,-.508,1.208333333,.325,-.231428571,-.26,-1.342857143,-.045714286,-.065714286,-.374285714,-.597142857,-.29,165.1,63.2,1841,379.3,1.27,2.16,72.7,118.7
2,K-,EtOH,72h,.13,.39,.36,-1.011428571,1.08,-.492857143,-.185714286,-.575714286,1.045714286,1.242857143,1.94,183.8,57.5,1822,401,.57,2.74,68.5,122.2
3,K-,EtOH,72h,.252,.748333333,.385,-.531428571,-.26,-1.092857143,-.075714286,-.145714286,-.714285714,-.897142857,-1.07,189,65.7,2138,348,.67,2.76,70.8,129
4,K-,EtOH,72h,.132,1.508333333,1.805,1.428571429,.7,.297142857,-.055714286,.384285714,1.735714286,-.277142857,1.15,198.1,56,2556,317.5,.44,2.16,62.9,119
5,K-,EtOH,72h,.672,-.431666667,-1.725,.448571429,-.59,3.967142857,-.915714286,-.725714286,.045714286,-.587142857,-1.12,199,53.8,2567,332,.38,1.76,66.2,124.2
6,K-,EtOH,72h,-.548,.028333333,-1.205,.058571429,-.79,-.762857143,.164285714,-.265714286,-.794285714,-.257142857,-1.16,172.6,66.6,2004,350.9,1.14,2.8,77.3,135.6
7,K-,EtOH,72h,.13,-3.061666667,.415,-.161428571,.12,-.572857143,1.114285714,1.394285714,-.944285714,1.372857143,.55,189,56,2197,241.4,.43,2.1,70.1,118.6
7,K+,APAP,24h,.158333333,.397142857,-.731428571,1.631428571,1.065714286,-.151428571,.128571429,-.25,-.071428571,-.008571429,-.578571429,237.6,53.9,2160,394.5,.27,2.59,71.5,125.8
8,K+,APAP,24h,-.181666667,-.122857143,.788571429,1.881428571,-1.634285714,-.541428571,-1.421428571,-1.36,1.628571429,-.438571429,3.641428571,174.3,78.1,1851,541.1,1.25,2.49,68.6,101.7
9,K+,APAP,24h,-.651666667,-1.572857143,-.921428571,2.371428571,.025714286,-.021428571,-2.441428571,-1.52,1.988571429,-1.068571429,-.748571429,172.2,58,1981,333,.98,1.99,64.9,104.8
10,K+,APAP,24h,-.041666667,-1.162857143,-.311428571,-.178571429,.475714286,.068571429,-1.811428571,-1.71,1.418571429,-.468571429,.591428571,186.3,61.1,2397,616.4,1.39,1.49,66.3,107
11,K+,APAP,24h,-1.811666667,-.952857143,.708571429,1.88,.425714286,.408571429,1.968571429,-1.09,3.298571429,-.76,1.161428571,184.8,56.8,2530,792.6,1.16,1.67,53,146.1
12,K+,APAP,24h,.428333333,.117142857,.858571429,2.241428571,-.214285714,.118571429,2.308571429,-.43,1.628571429,-1.208571429,.171428571,200,56.4,2882,719.7,1.34,1.97,58.8,148.9
13,K+,APAP,24h,-.061666667,.577142857,1.418571429,2.491428571,-.744285714,.158571429,3.848571429,.11,2.008571429,-.758571429,-.478571429,160.4,61.9,1610,626.4,.85,2.22,55,103.9
14,K+,APAP,24h,-.311666667,-1.152857143,1.268571429,.931428571,.625714286,-.111428571,2.808571429,-1.33,3.348571429,-.978571429,.181428571,178.7,68.1,2233,522.6,.87,2.2,60.5,111.6
8,K+,APAP,72h,.11,-.375,-2.287142857,2.265714286,.274285714,1.491428571,.128571429,-.664285714,-2.792857143,1.652857143,1.752857143,270.1,84.2,2402,327.1,.8,2.66,72.4,116.8
9,K+,APAP,72h,-.338571429,-1.41,-1.097142857,.985714286,3.394285714,.831428571,-1.421428571,-.414285714,-.212857143,.462857143,-.557142857,209.7,67.9,2986,218.2,1,2.48,68.1,144.6
10,K+,APAP,72h,-.518571429,-2.14,-1.497142857,1.165714286,1.464285714,1.041428571,-2.441428571,-1.704285714,-.172857143,.112857143,.322857143,212.6,67.8,2154,328.2,.6,2.86,77.6,108.2
11,K+,APAP,72h,.531428571,.16,-1.267142857,.535714286,2.124285714,-.338571429,-1.811428571,-1.294285714,.497142857,.062857143,-.777142857,220.4,71,2866,498.8,1.39,2.43,62.6,129.2
12,K+,APAP,72h,.301428571,.03,-2.637142857,.245714286,4.134285714,-1.348571429,1.968571429,-.574285714,.317142857,-.937142857,-.827142857,245.3,61.5,1796,315.2,1.83,3.2,66.9,114.7
13,K+,APAP,72h,.801428571,-.78,.202857143,.945714286,1.79,-.998571429,2.308571429,-1.114285714,-.562857143,.622857143,-.537142857,246.6,84.2,2937,320.1,1.46,2.49,67.2,127.3
14,K+,APAP,72h,-.078571429,.46,-1.517142857,-.084285714,1.334285714,-.548571429,3.848571429,-.834285714,.817142857,.922857143,-1.947142857,220.4,71,2402,328.2,1.39,2.49,62.6,129.2
8,K+,CCL4,24h,-.982857143,-3.472857143,-2.472857143,-1.742857143,-1.914285714,.725714286,2.808571429,-1.004285714,-1.25,-1.777142857,-1.385714286,349.6,118.4,1668,331.1,.66,1.39,63.4,141.8
9,K+,CCL4,24h,-.022857143,-2.152857143,-2.702857143,-1.512857143,-1.274285714,-.194285714,-.717142857,-1.244285714,.54,-.737142857,-1.115714286,305.7,118.4,3030,819.8,.61,1.43,68.8,141.8
10,K+,CCL4,24h,-1.832857143,-.912857143,-3.322857143,-2.122857143,-3.084285714,.395714286,.622857143,-2.174285714,-1.17,-1.617142857,-2.035714286,346.3,127.8,1949,821.2,.97,1.99,61.9,274
11,K+,CCL4,24h,-1.212857143,-.572857143,-2.272857143,-1.472857143,.705714286,.465714286,-.647142857,-.874285714,1.03,-.817142857,-.655714286,200.4,118.4,2924,350.3,.82,1.39,68.3,124.5
12,K+,CCL4,24h,-.092857143,-1.092857143,-1.922857143,-1.122857143,-2.484285714,.335714286,0.557857143,-1.484285714,1.29,.032857143,-.915714286,232.3,62.3,2858,350.3,.57,1.31,70.7,143.3
13,K+,CCL4,24h,-.002857143,-.922857143,-2.102857143,-.432857143,.745714286,.065714286,1.102857143,-.914285714,2.41,-.727142857,-.725714286,200.4,118.4,1195,343.9,.82,1.15,73.5,203.1
14,K+,CCL4,24h,-1.052857143,-1.192857143,-2.862857143,-1.032857143,-.754285714,-.304285714,.492857143,-.434285714,2.2,-.287142857,-1.425714286,206.3,79.2,1668,343.9,.66,.72,63.4,203.1
8,K+,CCL4,72h,.877142857,-1.417142857,-.391428571,-2.011428571,.418571429,-.442857143,1.524285714,.485714286,2.608571429,-.608571429,-1.048571429,317.1,188.3,1689,459.4,.59,1.13,78.1,134.1
9,K+,CCL4,72h,.517142857,.012857143,.328571429,-1.191428571,.148571429,-.232857143,1.274285714,1.135714286,2.448571429,-.888571429,-.928571429,209.1,98.7,1619,239.7,.99,1.13,68.3,133.5
10,K+,CCL4,72h,.347142857,.412857143,-.061428571,-2.791428571,.528571429,.497142857,1.004285714,-.134285714,2.018571429,-.828571429,-.638571429,206.2,56.4,1626,289.5,.65,1.23,66,129.2
11,K+,CCL4,72h,1.737142857,-.277142857,.978571429,-1.741428571,.018571429,.227142857,2.644285714,.485714286,2.168571429,-.128571429,-.438571429,295.5,124.7,1479,420.9,.61,1.34,68.1,134.4
12,K+,CCL4,72h,1.037142857,-.377142857,-.721428571,-1.911428571,.448571429,-.302857143,3.254285714,-.974285714,3.468571429,-.418571429,.051428571,197.4,124.7,1632,422.2,.74,1.5,70.7,151.7
13,K+,CCL4,72h,1.277142857,-.157142857,-1.871428571,-1.841428571,.588571429,.897142857,3.104285714,-.594285714,3.888571429,-1.428571429,-.278571429,235,76.1,1454,474.1,1.02,1.34,75,124.8
14,K+,CCL4,72h,-.282857143,-.557142857,-.161428571,-2.091428571,-.891428571,-.652857143,1.314285714,-.874285714,.128571429,-.258571429,-1.118571429,235,98.7,1665,462.1,.85,1.71,66.3,127.3
8,K+,EtOH,24h,-1.758333333,-2.288571429,-1.272857143,-1.692857143,-.64,-1.107142857,-7.114285714,-6.061428571,-2.4,-1.091428571,-1.366666667,133.1,46.2,1189,293.3,1.63,1.51,59.1,138.7
9,K+,EtOH,24h,-.918333333,-2.498571429,-1.312857143,4.657142857,-.91,-1.337142857,-6.244285714,-6.271428571,.37,-.331428571,-1.356666667,172.7,50.3,2274,262.8,1.07,1.44,63.1,142.1
10,K+,EtOH,24h,1.081666667,-1.328571429,-2.012857143,5.347142857,-1.17,-.197142857,-8.594285714,-5.211428571,.98,.778571429,-.076666667,225.7,47.5,3039,282.1,.63,1.51,58.9,139
11,K+,EtOH,24h,.281666667,.551428571,.567142857,-.682857143,.45,1.162857143,-4.824285714,-4.531428571,1.23,1.558571429,-.006666667,164.7,45.5,2439,211.5,1.72,1.7,53.4,119
12,K+,EtOH,24h,-.255,-4.068571429,-1.722857143,-5.472857143,-.775,-1.377142857,-4.254285714,-4.491428571,-1.97,-3.101428571,.543333333,167.8,58,1541,227,1.14,1.42,55.5,124.2
13,K+,EtOH,24h,-.728333333,-.718571429,.297142857,4.127142857,.82,.682857143,-5.274285714,-3.841428571,-.28,.498571429,.623333333,178.2,47.5,3040,269,1.16,1.7,54,135.6
14,K+,EtOH,24h,.931666667,-3.848571429,-2.862857143,-2.752857143,-4.4,-1.867142857,-2.794285714,-4.971428571,-.7,-3.191428571,1.833333333,178.5,58.2,3142,302.7,1.68,1.58,57.3,137.2
8,K+,EtOH,72h,-.738,-2.361666667,-.305,.028571429,-.92,-.822857143,-.815714286,-1.005714286,-.364285714,-.977142857,-.96,222.2,70.2,2073,242.6,1.21,2.93,52.7,145.2
9,K+,EtOH,72h,.382,-1.121666667,-.945,-.551428571,-1.69,-1.352857143,-2.345714286,-1.295714286,2.155714286,-1.227142857,-1.75,152.1,34.6,2627,260,1.69,1.52,51.5,109
10,K+,EtOH,72h,.302,2.198333333,.605,-.451428571,-.74,-.692857143,-.505714286,-.545714286,-1.144285714,-1.317142857,-1.8,144.3,34.9,2238,271.7,1.69,1.12,43.7,121.5
11,K+,EtOH,72h,-.368,-2.191666667,-.465,-.901428571,-1.17,-1.042857143,.254285714,-1.085714286,.575714286,-1.447142857,-1.19,190,62.9,2340,249.8,.98,1.55,61.1,175
12,K+,EtOH,72h,.302,-1.021666667,.365,.158571429,-.81,-1.202857143,-.415714286,-.325714286,3.365714286,-1.067142857,-1.56,136.2,46.7,2621,280,1.93,1.68,54.3,130.6
13,K+,EtOH,72h,.132,-.541666667,-.125,.018571429,-1.48,-2.142857143,-.395714286,.004285714,-.024285714,-.977142857,-1.73,177.6,37.6,2242,305.3,1.57,2.34,50.5,138.1
14,K+,EtOH,72h,-.188,-.841666667,-.165,-1.301428571,-1.86,-1.432857143,-.465714286,-.185714286,1.245714286,-.597142857,-2.27,114.4,46,1269,283.9,1.35,1.77,52.4,114.4
36,Mexidol,APAP,24h,-.6,-1.54,.16,1.13,-1.215,-.09,-3.191428571,-.87,2.46,-.58,.971428571,222.9,58.5,2549,453.2,1.41,2.45,64.7,120.2
37,Mexidol,APAP,24h,.288333333,-1.742857143,.788571429,.771428571,-1.144285714,.908571429,.558571429,-.38,2.078571429,1.561428571,.981428571,173.5,60.1,2584,484.4,1.12,2.29,69.2,139.6
